Name,Artifact Type,Category,Description,Tags,Classifications,Stewards,Related Terms,Secondary Categories
Address,data_class,[uncategorized],Street address of a single or multi-line address.,,,,,
Citizenship,data_class,[uncategorized],"Citizenship is a relationship between an individual and a state to which the individual owes allegiance and in turn is entitled to its protection. Recognition by a state as a citizen generally carries with it recognition of civil, political, and social rights which are not afforded to non-citizens.",,,,,
Credit Card Network,data_class,[uncategorized],"A string representing the network a credit card belongs to; Master Card, Visa, American Express, Discover etc.",,,,,
Day,data_class,[uncategorized],"A string representing the days of the week that a shift worker has been granted time off. Each day is separated by a comma. For example, Monday, Tuesday.",,,,,
Education Status,data_class,[uncategorized],A string representing the level of education an individual has achieved.,,,,,
Hour,data_class,[uncategorized],A string representing a numeric value related to the hour of the day; 1-24.,,,,,
Income,data_class,[uncategorized],"The total amount of money that a person receives, on a regular basis for work or through investments.",,,,,
Postal Code,data_class,[uncategorized],"A postal code (also known locally in various English-speaking countries throughout the world as a postcode, post code, PIN or ZIP Code) is a series of letters or digits or both, sometimes including spaces or punctuation, included in a postal address for the purpose of sorting mail.", ,,,,
National Identifier,data_class,[uncategorized],"A national identification number, national identity number, or national insurance number is used by the governments of many countries as a means of tracking their citizens, permanent residents, and temporary residents for the purposes of work, taxation, government benefits, health care, and other governmentally-related functions. For example; US Social Security Number, Canadian Social Insurance Number (SIN), French INSEE Number, UK National Insurance Number, Spanish Fiscal Identification Number etc.",,,,,
Phone Number,data_class,[uncategorized],Phone Number is a string of specific numbers that a telephone or cell phone user can dial to reach another telephone or mobile phone independent of country.,,,,,
Quarter,data_class,[uncategorized],"A string representing one quarter of a given year; Q1, Q2, Q3, Q4.",,,,,
Residence,data_class,[uncategorized],"The residential living status of a person. For example, valid values would be; Owner Occupied, Public Housing, Private Housing, Renting, Sheltered, Living with parents/guardian etc.",,,,,
State/Province Code,data_class,[uncategorized],Two-letter alphabetic codes that are used to identify a country states or providences.,,,,,
Year,data_class,[uncategorized],"A string or integer value representing a year; 1956, 2021 etc.",,,,,