DEPARTMENT_CODE,DEPARTMENT_EN,DEPARTMENT_DE,DEPARTMENT_FR,DEPARTMENT_JA,DEPARTMENT_AR,DEPARTMENT_CS,DEPARTMENT_DA,DEPARTMENT_EL,DEPARTMENT_ES,DEPARTMENT_FI,DEPARTMENT_HR,DEPARTMENT_HU,DEPARTMENT_ID,DEPARTMENT_IT,DEPARTMENT_KK,DEPARTMENT_KO,DEPARTMENT_MS,DEPARTMENT_NL,DEPARTMENT_NO,DEPARTMENT_PL,DEPARTMENT_PT,DEPARTMENT_RO,DEPARTMENT_RU,DEPARTMENT_SC,DEPARTMENT_SL,DEPARTMENT_SV,DEPARTMENT_TC,DEPARTMENT_TH,DEPARTMENT_TR
200,Corporate,Unternehmensleitung,Société,経営幹部,شركة,Podniková,Firma,Εταιρική,Corporativo,Yritys,Korporativni,Vállalati,Korporat,Aziendale,Қауымдық,회사,Korporat,Corporate,Bedriftsledelsen,firmy,Corporativo,Corporatist,Корпоративный,公司,Vodstvo,Företag,公司,องค์กร,Kurumsal
100,Executive,Geschäftsleitung,Direction,最高経営層,تنفيذي,Rídicí,Chef,Στέλεχος,Ejecutivo,Johtaja,Izvršni,Vezeto,Eksekutif,Direzionale,Орындаушы,이그제큐티브,Eksekutif,Directie,Ledelsen,Dyrektor,Executivo,Executiv,Администратор,主管,Direktor,Verkställande,主管,บริหาร,Üst Düzey
220,Operations,Operations,Opérations,業務,العمليات,Provoz,Drift,Συντονιστικές και Διαχειριστικές Υπηρεσίες,Operaciones,Toiminnot,Operacije,Muveletek,Operasi,Operazioni,Әрекеттер,경영본부,Operasi,Operations,Drift,Działalność operacyjna,Operações,Operaţii,Операции,运营,Operacije,Drift,營業,ฝ่ายปฏิบัติการ,Operasyonlar
300,Human Resources,Personalabteilung,Ressources humaines,人事,الموارد البشرية,Personalistika,Personale,Ανθρώπινοι πόροι,Recursos humanos,Henkilöstöhallinta,Ljudski resursi,Emberi eroforrások,Sumber Daya Manusia,Risorse Umane,Кадрлар бөлімі,인사,Sumber Manusia,Personeelszaken,HR (Human Resources),Zarządzanie Kadrami,Recursos humanos,Resurse umane,Кадры,人力资源,Kadrovska služba,Personal,人力資源,ฝ่ายทรัพยากรบุคคล,İnsan Kaynakları
320,Finance,Finanzen,Finances,財務,مالي,Finance,Økonomi,Οικονομικές Υπηρεσίες,Finanzas,Rahoitus,Financije,Pénzügy,Keuangan,Finanza,Қаржы,재무,Kewangan,Financiën,Finans,Finanse,Finanças,Finanţe,Финансы,财务,Finance,Ekonomi,財務,ฝ่ายการเงิน,Finans
330,Marketing,Marketing,Marketing,マーケティング,تسويق,Marketing,Marketing,Μάρκετινγκ,Marketing,Markkinointi,Marketing,Marketing,Pemasaran,Marketing,Маркетинг,마케팅,Pemasaran,Marketing,Markedsføring,Marketing,Marketing,Marketing,Маркетинг,市场营销,Trženje,Marknadsföring,行銷,ฝ่ายการตลาด,Pazarlama
350,Procurement,Einkauf,Approvisionnement,調達,المشتريات,Nákup,Indkøb,Προμήθειες,Compras,Hankinta,Nabava,Beszerzés,Pengadaan,Acquisti,Қамтамасыз ету,조달,Pemerolehan,Inkoop,Innkjøp,Zaopatrzenie,Compras,Achiziţii,Закупка,采购,Nabava,Upphandling,採購,ฝ่ายจัดซื้อ,Tedarik
360,Production and Distribution,Produktion und Distribution,Production et distribution,製造販売,الانتاج والتوزيع,Výroba a distribuce,Produktion og distribution,Παραγωγή και Διανομή,Producción y distribución,Tuotanto ja jakelu,Proizvodnja i distribucija,Termelés és elosztás,Produksi dan Distribusi,Produzione e distribuzione,Өндіру және үлестіру,생산 및 유통,Penghasilan dan Pengedaran,Productie en distributie,Produksjon og distribusjon,Produkcja i dystrybucja,Produção e distribuição,Producţie şi distribuţie,Производство и распределение,生产和发售,Proizvodnja in distribucija,Produktion och distribution,生產與分配,ฝ่ายผลิตและจัดจำหน่าย,Üretim ve Dağıtım
370,Customer Service,Kundendienst,Service à la clientèle,顧客サービス,خدمة العملاء,Služby zákazníkum,Kundeservice,Τεχνική υποστήριξη πελατών,Servicio al cliente,Asiakaspalvelu,Korisničke usluge,Ügyfélszolgálat,Layanan pelanggan,Servizio clienti,Тұтынушыларға қызмет көрсету,고객 서비스,Perkhidmatan Pelanggan,Klantenservice,Kundeservice,Obsługa klienta,Serviço ao consumidor,Service pentru client,Служба работы с покупателями,客户服务,Služba za stranke,Kundtjänst,客戶服務,ฝ่ายบริการลูกค้า,Müşteri Hizmetleri
380,Information Services and Technology,Informationstechnologie,Services et technologies de l'information,情報サービス/技術,خدمات وتكنولوجيا المعلومات,Informacní služby a technologie,IT,Υπηρεσίες και Τεχνολογίες Πληροφοριών,Servicios y tecnología de la información,Tietopalvelut ja -tekniikka,Informacijske usluge i tehnologija,Információs szolgáltatások és technológia,Layanan dan Teknologi Informasi,Tecnologie informatiche,Ақпараттық қызмет пен технология,정보 서비스 및 기술,Perkhidmatan dan Teknologi Maklumat,Informatieservices & technologie,Informasjonstjenester og informasjonsteknologi,Usługi informatyczne oraz IT,Serviços de informação e tecnologia,Servicii informatice şi Tehnologie informatică,Информационные услуги и технологии,信息服务和技术,Informacijske storitve in tehnologija,Informationstjänster och IT,資訊服務與技術,ฝ่ายเทคโนโลยีและบริการสารสนเทศ,Bilgi Hizmetleri ve Teknolojisi
390,Sales,Verkauf,Ventes,販売,المبيعات,Prodej,Salg,Πωλήσεις,Ventas,Myynti,Prodaja,Értékesítés,Penjualan,Vendite,Сатылымдар,판매,Jualan,Verkoop,Salg,Sprzedaż,Vendas,Vânzări,Сбыт,销售,Prodaja,Försäljning,銷售,ฝ่ายขาย,Satış
340,Sales (Corporate),Verkauf (Unternehmensweit),Ventes (société),販売 (法人),المبيعات (الشركة),Prodej (firemní zákazníci),Salg (koncern),Πωλήσεις (Εταιρικές),Ventas (corporativo),Myynti (yritys),Prodaja (korporativna),Értékesítés (Vállalati),Penjualan (Korporat),Vendite (Aziendale),Сатылымдар (Бiрлестігi),판매(회사),Jualan (Korporat),Verkoop (bedrijf),Salg (selskap),Sprzedaż (firmowa),Vendas (Corporativas),Vânzări (Corporaţii),Продажи (корпоративные),销售（公司）,Prodaja (podjetje),Försäljning (Företag),銷售 (公司),ฝ่ายขาย (องค์กร),Satış (Kurumsal)
